id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;oznaczenie_braku_wartosci;nazwa_braku_wartosci;oznaczenie_tajnosci;nazwa_tajnosci;oznaczenie_flagi;nazwa_flaga;notka
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2019;2019 ;104,7;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2020;2020 ;96,3;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2021;2021 ;106,9;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2022;2022 ;102,6;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2023;2023 ;95,5;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;92;okres poprzedni=100 ceny stałe [-];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2024;2024 ;100,5;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2019;2019 ;917671;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2020;2020 ;890637;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2021;2021 ;1000028;ND;Nie dotyczy;nd;Dane jawne;nd;Nie dotyczy;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2022;2022 ;1185525;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2023;2023 ;1255736;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
109;Sprzedaż detaliczna towarów;822;"Polska; Grupy towarów w sprzedaży detalicznej";33617;POLSKA;105;[mln zł];502;Grupy towarów w sprzedaży detalicznej;874794;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;2024;2024 ;1296716;ND;Nie dotyczy;nd;Dane jawne;o;Dane ostateczne;
