spolka,rok,aktywa_obrotowe,zapasy,rmc,inwestycje_krotkoterm,zob_krotkoterm,zysk_netto,przychody,aktywa_ogolem,kapital_wlasny
Dino,2019,1134987,623995,0,394720,1868180,410907,7646547,4350750,1622353
Dino,2020,1516698,875147,0,480418,2080691,643917,10125815,5570510,2266563
Dino,2021,1985184,1373463,0,418615,3005537,805303,13362012,7168531,3070190
Dino,2022,2706706,1978778,0,382718,3690127,1132087,19801622,9003059,4203783
Dino,2023,3253165,2638859,0,218389,3879293,1405327,25666255,10377715,5605311
Dino,2024,4439416,3081444,0,891022,5382849,1505729,29273792,13055794,7102434
LPP,2019,3735143,1921139,36892,1361474,3199120,421039,9899243,9605862,3247491
LPP,2020,4733200,2074447,32249,1277854,4171199,-190130,7848079,10353768,3068391
LPP,2021,7107533,3864113,49243,1354891,6879932,953522,14029674,14135248,3272097
LPP,2022,5569267,3353404,78943,465046,5213952,485099,15926504,12921040,3984377
LPP,2023,5828700,3040300,81600,1076500,5653800,1612000,17406200,13802100,4717000
LPP,2024,7629000,4669000,81000,846000,8453000,1747000,20194000,17501000,5302000
CCC,2019,2933200,1942300,0,542600,2958300,-27500,5402900,7143700,1089600
CCC,2020,3061400,2192600,0,458700,3346500,-1280300,5638600,6647400,309800
CCC,2021,4106900,2625800,0,941100,2938900,-192300,7591500,7500700,1151600
CCC,2022,3462800,2691100,0,395400,3740000,-443900,9123200,7064100,582700
CCC,2023,3580900,2911600,0,266500,4433200,-124700,9440300,7346000,953500
CCC,2024,4706200,3579000,0,461200,4058100,1023200,10302800,9051900,1935900
