wskaznik,spolka,W,p,normality_assumption
CR,Dino,0.9378,0.6414,True
QR,Dino,0.9686,0.8827,True
ChR,Dino,0.9717,0.9035,True
ROS,Dino,0.9666,0.8689,True
ROA,Dino,0.9564,0.7915,True
ROE,Dino,0.9221,0.5207,True
CR,LPP,0.944,0.6914,True
QR,LPP,0.9866,0.9793,True
ChR,LPP,0.914,0.4635,True
ROS,LPP,0.9206,0.5096,True
ROA,LPP,0.9651,0.8581,True
ROE,LPP,0.886,0.2977,True
CR,CCC,0.9077,0.4213,True
QR,CCC,0.9316,0.5923,True
ChR,CCC,0.879,0.2646,True
ROS,CCC,0.8804,0.2709,True
ROA,CCC,0.9363,0.6299,True
ROE,CCC,0.7182,0.0096,False
